i_idx,movie_id,title
337,47,Ed Wood (1994)
338,217,Bram Stoker's Dracula (1992)
339,259,George of the Jungle (1997)
340,596,"Hunchback of Notre Dame, The (1996)"
341,960,Naked (1993)
342,211,M*A*S*H (1970)
343,938,"Smile Like Yours, A (1997)"
344,1060,"Adventures of Pinocchio, The (1996)"
345,404,Pinocchio (1940)
346,305,"Ice Storm, The (1997)"
347,210,Indiana Jones and the Last Crusade (1989)
348,278,Bed of Roses (1996)
349,770,Devil in a Blue Dress (1995)
350,252,"Lost World: Jurassic Park, The (1997)"
351,156,Reservoir Dogs (1992)
352,1110,Tank Girl (1995)
353,350,Fallen (1998)
354,431,Highlander (1986)
355,475,Trainspotting (1996)
356,182,GoodFellas (1990)
357,50,Star Wars (1977)
358,365,Powder (1995)
359,187,"Godfather: Part II, The (1974)"
360,289,Evita (1996)
361,185,Psycho (1960)
362,712,Tin Men (1987)
363,94,Home Alone (1990)
364,742,Ransom (1996)
365,762,Beautiful Girls (1996)
366,732,Dave (1993)
367,168,Monty Python and the Holy Grail (1974)
368,550,Die Hard: With a Vengeance (1995)
369,849,Days of Thunder (1990)
370,406,Thinner (1996)
371,150,Swingers (1996)
372,869,Fools Rush In (1997)
373,184,Army of Darkness (1993)
374,371,"Bridges of Madison County, The (1995)"
375,720,First Knight (1995)
376,873,Picture Perfect (1997)
377,381,Muriel's Wedding (1994)
378,922,Dead Man (1995)
379,57,Priest (1994)
380,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
381,370,Mary Reilly (1996)
382,249,Austin Powers: International Man of Mystery (1997)
383,721,Mallrats (1995)
384,611,Laura (1944)
385,142,Bedknobs and Broomsticks (1971)
386,943,Killing Zoe (1994)
387,126,"Spitfire Grill, The (1996)"
388,824,"Great White Hype, The (1996)"
389,8,Babe (1995)
390,58,Quiz Show (1994)
391,680,Kull the Conqueror (1997)
392,741,"Last Supper, The (1995)"
393,1061,"Evening Star, The (1996)"
394,448,"Omen, The (1976)"
395,900,Kundun (1997)
396,941,With Honors (1994)
397,905,Great Expectations (1998)
398,1497,"Line King: Al Hirschfeld, The (1996)"
399,55,"Professional, The (1994)"
400,744,Michael Collins (1996)
401,642,"Grifters, The (1990)"
402,1015,Shiloh (1997)
403,121,Independence Day (ID4) (1996)
404,301,In & Out (1997)
405,81,"Hudsucker Proxy, The (1994)"
406,284,Tin Cup (1996)
407,740,Jane Eyre (1996)
408,22,Braveheart (1995)
409,864,My Fellow Americans (1996)
410,1099,"Red Firecracker, Green Firecracker (1994)"
411,961,Orlando (1993)
412,812,Andre (1994)
413,240,Beavis and Butt-head Do America (1996)
414,376,Houseguest (1994)
415,931,"Island of Dr. Moreau, The (1996)"
416,717,"Juror, The (1996)"
417,399,"Three Musketeers, The (1993)"
418,1039,Hamlet (1996)
419,1114,Faithful (1996)
420,292,Rosewood (1997)
421,561,Mary Shelley's Frankenstein (1994)
422,901,Mr. Magoo (1997)
423,70,Four Weddings and a Funeral (1994)
424,417,"Parent Trap, The (1961)"
425,809,Rising Sun (1993)
426,540,Money Train (1995)
427,293,Donnie Brasco (1997)
428,497,Bringing Up Baby (1938)
429,1462,"Thieves (Voleurs, Les) (1996)"
430,1246,Bushwhacked (1995)
431,655,Stand by Me (1986)
432,13,Mighty Aphrodite (1995)
433,588,Beauty and the Beast (1991)
434,409,Jack (1996)
435,739,Pretty Woman (1990)
436,661,High Noon (1952)
437,665,Alien 3 (1992)
438,692,"American President, The (1995)"
439,439,Amityville: A New Generation (1993)
440,632,Sophie's Choice (1982)
441,1198,Purple Noon (1960)
442,609,Father of the Bride (1950)
443,225,101 Dalmatians (1996)
444,128,Supercop (1992)
445,866,Michael (1996)
446,295,Breakdown (1997)
447,49,I.Q. (1994)
448,626,So Dear to My Heart (1949)
449,707,Enchanted April (1991)
450,586,Terminal Velocity (1994)
451,593,Stalingrad (1993)
452,147,"Long Kiss Goodnight, The (1996)"
453,1220,Higher Learning (1995)
454,492,East of Eden (1955)
455,620,"Chamber, The (1996)"
456,161,Top Gun (1986)
457,1070,Living in Oblivion (1995)
458,449,Star Trek: The Motion Picture (1979)
459,948,Booty Call (1997)
460,509,My Left Foot (1989)
461,870,Touch (1997)
462,39,Strange Days (1995)
463,1100,What Happened Was... (1994)
464,820,Space Jam (1996)
465,660,Fried Green Tomatoes (1991)
466,1022,"Fast, Cheap & Out of Control (1997)"
467,120,Striptease (1996)
468,780,Dumb & Dumber (1994)
469,44,Dolores Claiborne (1994)
470,686,"Perfect World, A (1993)"
471,28,Apollo 13 (1995)
472,729,Nell (1994)
473,52,"Madness of King George, The (1994)"
474,230,Star Trek IV: The Voyage Home (1986)
475,506,Rebel Without a Cause (1955)
476,566,Clear and Present Danger (1994)
477,774,"Prophecy, The (1995)"
478,1003,That Darn Cat! (1997)
479,433,Heathers (1989)
480,99,Snow White and the Seven Dwarfs (1937)
481,1288,Denise Calls Up (1995)
482,190,Henry V (1989)
483,1010,Basquiat (1996)
484,877,Excess Baggage (1997)
485,487,Roman Holiday (1953)
486,1052,Dracula: Dead and Loving It (1995)
487,287,Marvin's Room (1996)
488,659,Arsenic and Old Lace (1944)
489,927,"Flower of My Secret, The (Flor de mi secreto, La) (1995)"
490,696,City Hall (1996)
491,269,"Full Monty, The (1997)"
492,179,"Clockwork Orange, A (1971)"
493,440,Amityville II: The Possession (1982)
494,806,Menace II Society (1993)
495,572,Blown Away (1994)
496,654,Chinatown (1974)
497,324,Lost Highway (1997)
498,736,Shadowlands (1993)
499,92,True Romance (1993)
500,461,Smoke (1995)
501,129,Bound (1996)
502,9,Dead Man Walking (1995)
503,152,Sleeper (1973)
504,233,Under Siege (1992)
505,589,"Wild Bunch, The (1969)"
506,203,Unforgiven (1992)
507,1034,"Quest, The (1996)"
508,923,Raise the Red Lantern (1991)
509,463,"Secret of Roan Inish, The (1994)"
510,122,"Cable Guy, The (1996)"
511,310,"Rainmaker, The (1997)"
512,285,Secrets & Lies (1996)
513,447,Carrie (1976)
514,412,"Very Brady Sequel, A (1996)"
515,1428,SubUrbia (1997)
516,977,"Substitute, The (1996)"
517,1065,Koyaanisqatsi (1983)
518,421,William Shakespeare's Romeo and Juliet (1996)
519,937,"Thousand Acres, A (1997)"
520,583,Romeo Is Bleeding (1993)
521,110,Operation Dumbo Drop (1995)
522,251,Shall We Dance? (1996)
523,831,Escape from L.A. (1996)
524,543,"Misérables, Les (1995)"
525,926,Down Periscope (1996)
526,155,Dirty Dancing (1987)
527,53,Natural Born Killers (1994)
528,393,Mrs. Doubtfire (1993)
529,91,"Nightmare Before Christmas, The (1993)"
530,477,Matilda (1996)
531,472,Dragonheart (1996)
532,761,Nick of Time (1995)
533,1286,Shall We Dance? (1937)
534,93,Welcome to the Dollhouse (1995)
535,644,"Thin Blue Line, The (1988)"
536,982,Maximum Risk (1996)
537,491,"Adventures of Robin Hood, The (1938)"
538,511,Lawrence of Arabia (1962)
539,397,Striking Distance (1993)
540,162,On Golden Pond (1981)
541,513,"Third Man, The (1949)"
542,375,Showgirls (1995)
543,38,"Net, The (1995)"
544,418,Cinderella (1950)
545,858,Amityville: Dollhouse (1996)
546,131,Breakfast at Tiffany's (1961)
547,87,Searching for Bobby Fischer (1993)
548,725,Exit to Eden (1994)
549,72,"Mask, The (1994)"
550,663,Being There (1979)
551,1133,Escape to Witch Mountain (1975)
552,125,Phenomenon (1996)
553,1248,Blink (1994)
554,354,"Wedding Singer, The (1998)"
555,105,Sgt. Bilko (1996)
556,73,Maverick (1994)
557,239,Sneakers (1992)
558,860,"Believers, The (1987)"
559,1046,Malice (1993)
560,1178,Major Payne (1994)
561,523,Cool Hand Luke (1967)
562,634,Microcosmos: Le peuple de l'herbe (1996)
563,1245,Gridlock'd (1997)
564,974,Eye for an Eye (1996)
565,619,Extreme Measures (1996)
566,107,Moll Flanders (1996)
567,213,"Room with a View, A (1986)"
568,319,Everyone Says I Love You (1996)
569,963,Some Folks Call It a Sling Blade (1993)
570,875,She's So Lovely (1997)
571,180,Apocalypse Now (1979)
572,1033,Homeward Bound II: Lost in San Francisco (1996)
573,380,Star Trek: Generations (1994)
574,59,Three Colors: Red (1994)
575,1078,Oliver & Company (1988)
576,585,Son in Law (1993)
577,148,"Ghost and the Darkness, The (1996)"
578,683,Rocket Man (1997)
579,454,Bastard Out of Carolina (1996)
580,737,Sirens (1994)
581,524,"Great Dictator, The (1940)"
582,995,"Kiss Me, Guido (1997)"
583,616,Night of the Living Dead (1968)
584,945,Charade (1963)
585,299,Hoodlum (1997)
586,792,Bullets Over Broadway (1994)
587,708,"Sex, Lies, and Videotape (1989)"
588,950,Georgia (1995)
589,27,Bad Boys (1995)
590,747,Benny & Joon (1993)
591,85,"Ref, The (1994)"
592,516,Local Hero (1983)
593,1063,"Little Princess, A (1995)"
594,682,I Know What You Did Last Summer (1997)
595,221,Breaking the Waves (1996)
596,1150,Last Dance (1996)
597,847,Looking for Richard (1996)
598,138,D3: The Mighty Ducks (1996)
599,517,Manhattan (1979)
600,283,Emma (1996)
601,602,"American in Paris, An (1951)"
602,573,Body Snatchers (1993)
603,617,"Blue Angel, The (Blaue Engel, Der) (1930)"
604,569,Wolf (1994)
605,1332,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)
606,703,Widows' Peak (1994)
607,386,Addams Family Values (1993)
608,331,"Edge, The (1997)"
609,355,Sphere (1998)
610,949,How to Make an American Quilt (1995)
611,488,Sunset Blvd. (1950)
612,114,Wallace & Gromit: The Best of Aardman Animation (1996)
613,24,Rumble in the Bronx (1995)
614,763,Happy Gilmore (1996)
615,43,Disclosure (1994)
616,953,Unstrung Heroes (1995)
617,670,Body Snatchers (1993)
618,510,"Magnificent Seven, The (1954)"
619,372,Jeffrey (1995)
620,335,How to Be a Player (1997)
621,779,Drop Zone (1994)
622,435,Butch Cassidy and the Sundance Kid (1969)
623,223,Sling Blade (1996)
624,1334,Somebody to Love (1994)
625,835,"Gay Divorcee, The (1934)"
626,1327,Captives (1994)
627,263,Steel (1997)
628,450,Star Trek V: The Final Frontier (1989)
629,651,Glory (1989)
630,316,As Good As It Gets (1997)
631,929,Harriet the Spy (1996)
632,580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
633,1041,Forget Paris (1995)
634,424,Children of the Corn: The Gathering (1996)
635,429,"Day the Earth Stood Still, The (1951)"
636,868,Hearts and Minds (1996)
637,1161,Palookaville (1996)
638,166,Manon of the Spring (Manon des sources) (1986)
639,1162,Phat Beach (1996)
640,1019,"Die xue shuang xiong (Killer, The) (1989)"
641,908,Half Baked (1998)
642,1160,Love! Valour! Compassion! (1997)
643,676,"Crucible, The (1996)"
644,1012,Private Parts (1997)
645,1209,Mixed Nuts (1994)
646,693,Casino (1995)
647,282,"Time to Kill, A (1996)"
648,253,"Pillow Book, The (1995)"
649,428,Harold and Maude (1971)
650,1350,Crows and Sparrows (1949)
651,363,Sudden Death (1995)
652,300,Air Force One (1997)
653,1346,Dingo (1992)
654,1119,Some Kind of Wonderful (1987)
655,674,Cat People (1982)
656,411,"Nutty Professor, The (1996)"
657,527,Gandhi (1982)
658,1397,Of Human Bondage (1934)
659,807,Poetic Justice (1993)
660,657,"Manchurian Candidate, The (1962)"
661,1142,When We Were Kings (1996)
662,113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
663,426,"Transformers: The Movie, The (1986)"
664,1109,Death and the Maiden (1994)
665,116,Cold Comfort Farm (1995)
666,898,"Postman, The (1997)"
667,723,Boys on the Side (1995)
668,243,Jungle2Jungle (1997)
669,582,"Piano, The (1993)"
670,778,Don Juan DeMarco (1995)
671,308,FairyTale: A True Story (1997)
672,1007,Waiting for Guffman (1996)
673,641,Paths of Glory (1957)
674,1165,Big Bully (1996)
675,764,If Lucy Fell (1996)
676,1011,2 Days in the Valley (1996)
677,1101,Six Degrees of Separation (1993)
678,396,Serial Mom (1994)
679,1260,Total Eclipse (1995)
680,904,Ma vie en rose (My Life in Pink) (1997)
681,312,Midnight in the Garden of Good and Evil (1997)
682,1048,She's the One (1996)
683,627,Robin Hood: Prince of Thieves (1991)
684,571,Another Stakeout (1993)
685,552,Species (1995)
686,1278,Selena (1997)
687,499,Cat on a Hot Tin Roof (1958)
688,1186,"Inkwell, The (1994)"
689,1057,"Pallbearer, The (1996)"
690,207,Cyrano de Bergerac (1990)
691,309,Deceiver (1997)
692,671,Bride of Frankenstein (1935)
693,83,Much Ado About Nothing (1993)
694,482,Some Like It Hot (1959)
695,276,Leaving Las Vegas (1995)
696,1094,"Thin Line Between Love and Hate, A (1996)"
697,647,Ran (1985)
698,578,Demolition Man (1993)
699,1021,8 1/2 (1963)
700,886,"Life Less Ordinary, A (1997)"
701,1151,Original Gangstas (1996)
702,855,Diva (1981)
703,942,What's Love Got to Do with It (1993)
704,826,"Phantom, The (1996)"
705,1044,"Paper, The (1994)"
706,254,Batman & Robin (1997)
707,290,Fierce Creatures (1997)
708,848,"Murder, My Sweet (1944)"
709,542,Pocahontas (1995)
710,581,Kalifornia (1993)
711,1229,Poison Ivy II (1995)
712,718,In the Bleak Midwinter (1995)
713,337,"House of Yes, The (1997)"
714,1107,Beyond Rangoon (1995)
715,539,Mouse Hunt (1997)
716,821,Mrs. Winterbourne (1996)
717,364,Ace Ventura: When Nature Calls (1995)
718,553,"Walk in the Clouds, A (1995)"
719,313,Titanic (1997)
720,1218,Friday (1995)
721,115,"Haunted World of Edward D. Wood Jr., The (1995)"
722,1129,Chungking Express (1994)
723,493,"Thin Man, The (1934)"
724,36,Mad Love (1995)
725,205,Patton (1970)
726,102,"Aristocats, The (1970)"
727,1249,For Love or Money (1993)
728,773,Mute Witness (1994)
729,494,His Girl Friday (1940)
730,192,Raging Bull (1980)
731,687,McHale's Navy (1997)
732,772,Kids (1995)
733,921,Farewell My Concubine (1993)
734,42,Clerks (1994)
735,469,Short Cuts (1993)
736,874,Career Girls (1997)
737,1216,Kissed (1996)
738,1139,Hackers (1995)
739,547,"Young Poisoner's Handbook, The (1995)"
740,157,Platoon (1986)
741,1208,Kiss of Death (1995)
742,1157,"Relic, The (1997)"
743,808,"Program, The (1993)"
744,906,Oscar & Lucinda (1997)
745,535,Addicted to Love (1997)
746,470,Tombstone (1993)
747,714,Carrington (1995)
748,939,Murder in the First (1995)
749,738,Threesome (1994)
750,525,"Big Sleep, The (1946)"
751,340,Boogie Nights (1997)
752,1037,Grease 2 (1982)
753,530,"Man Who Would Be King, The (1975)"
754,528,"Killing Fields, The (1984)"
755,754,Red Corner (1997)
756,1436,Mr. Jones (1993)
757,771,Johnny Mnemonic (1995)
758,226,Die Hard 2 (1990)
759,1383,"Second Jungle Book: Mowgli & Baloo, The (1997)"
760,745,"Ruling Class, The (1972)"
761,1316,"Horse Whisperer, The (1998)"
762,846,To Gillian on Her 37th Birthday (1996)
763,605,Meet Me in St. Louis (1944)
764,575,City Slickers II: The Legend of Curly's Gold (1994)
765,1284,Before and After (1996)
766,1298,"Band Wagon, The (1953)"
767,529,My Life as a Dog (Mitt liv som hund) (1985)
768,743,"Crow: City of Angels, The (1996)"
769,840,Last Man Standing (1996)
770,244,Smilla's Sense of Snow (1997)
771,760,Screamers (1995)
772,1006,Until the End of the World (Bis ans Ende der Welt) (1991)
773,1228,Under Siege 2: Dark Territory (1995)
774,1095,High School High (1996)
775,34,"Doom Generation, The (1995)"
776,103,All Dogs Go to Heaven 2 (1996)
777,441,"Amityville Horror, The (1979)"
778,90,So I Married an Axe Murderer (1993)
779,1005,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)"
780,863,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)"
781,473,James and the Giant Peach (1996)
782,1281,Manny & Lo (1996)
783,356,"Client, The (1994)"
784,630,"Great Race, The (1965)"
785,793,Crooklyn (1994)
786,766,Man of the Year (1995)
787,1206,Amos & Andrew (1993)
788,1342,"Convent, The (Convento, O) (1995)"
789,980,Mother Night (1996)
790,1263,Foxfire (1996)
791,1376,Meet Wally Sparks (1997)
